"Player","Main","Question","Selected","Correct","Timestamp"
"SlawPro","Azucena","In Tekken Ball, what happens when both players fail to hit the ball?","The ball resets","The ball resets","2025-07-17T15:18:30.571Z"
"SlawPro","Azucena","Which item behaves similarly to the Tekken Ball mechanics in Smash Bros?","Cracker Launcher","Soccer Ball","2025-07-17T15:19:02.982Z"
"SlawPro","Azucena","Which character has a special divekick that's effective in Tekken Ball?","Jin Kazama","Jin Kazama","2025-07-17T15:19:13.616Z"
"SlawPro","Azucena","Which of these is **not** a feature in Tekken Ball mode?","Combo breakers","Combo breakers","2025-07-17T15:19:31.153Z"
"SlawPro","Azucena","The Tekken Ball game mode is most similar to which sport?","Volleyball","Volleyball","2025-07-17T15:19:38.683Z"
"SlawPro","Azucena","What makes Tekken Ball different from standard fighting modes?","The use of a volleyball-like mechanic","The use of a volleyball-like mechanic","2025-07-17T15:19:48.907Z"
"SlawPro","Azucena","Which platform was Tekken Ball first available on?","PlayStation 1","PlayStation 1","2025-07-17T15:19:52.292Z"
"SlawPro","Azucena","Can you win in Tekken Ball by health KO alone?","Yes","Yes","2025-07-17T15:19:58.917Z"
"SlawPro","Azucena","Can the Tekken Ball reflect off the walls?","No","No, Tekken Ball has no walls","2025-07-17T15:20:04.237Z"
"SlawPro","Azucena","Why is Law a strong pick in Tekken Ball?","Fast kick combos","Fast kick combos","2025-07-17T15:20:20.799Z"
"SlawPro","Azucena","Which character is often banned in fan-made Tekken Ball tournaments?","Devil Jin","Gon","2025-07-17T15:20:32.041Z"
"SlawPro","Azucena","Who is a fan-favorite character known for dominating Tekken Ball matches due to fast strikes?","King","Hwoarang","2025-07-17T15:20:45.146Z"
"SlawPro","Azucena","Which Tekken game first introduced Tekken Ball mode?","Tekken 3","Tekken 3","2025-07-17T15:20:50.586Z"
"SlawPro","Azucena","Which move type is best for controlling the Tekken Ball?","Throws","Mid-launchers","2025-07-17T15:21:00.155Z"
"SlawPro","Azucena","Who yells 'Hyaaa!' in many Tekken Ball attacks?","Lee","Paul","2025-07-17T15:21:08.948Z"
"SlawPro","Azucena","Which Tekken 3 character is a boxing-style fighter, useful in Tekken Ball?","Steve Fox","Steve Fox","2025-07-17T15:21:13.581Z"
"SlawPro","Azucena","What is the primary gameplay objective in Tekken Ball mode?","Survive the longest without getting hit","Hit your opponent with a ball to reduce their health","2025-07-17T15:21:28.934Z"
"SlawPro","Azucena","What color is the original Tekken Ball?","Red","Red","2025-07-17T15:21:34.247Z"
"SlawPro","Azucena","Can you launch the ball with throws in Tekken Ball?","Only air throws","No, throws don't affect the ball","2025-07-17T15:21:47.705Z"
"SlawPro","Azucena","What determines ball power in Tekken Ball mode?","Attack strength","Attack strength","2025-07-17T15:21:56.761Z"
