"Player","Main","Question Number","Question","Selected Answer","Correct Answer","Correct?","Answer Time (s)","Timestamp"
"SlawPro","Azucena","1","Which platform was Tekken Ball first available on?","PlayStation 1","PlayStation 1","Yes","3.05","2025-07-18T01:55:09.468Z"
"SlawPro","Azucena","2","In Tekken Ball, what happens when both players fail to hit the ball?","The ball resets","The ball resets","Yes","1.81","2025-07-18T01:55:11.277Z"
"SlawPro","Azucena","3","Can the Ball reflect off the walls?","No, Tekken Ball has no walls","No, Tekken Ball has no walls","Yes","1.33","2025-07-18T01:55:12.605Z"
"SlawPro","Azucena","4","Why is Law a strong pick in Tekken Ball?","Nunchucks","undefined","No","2.24","2025-07-18T01:55:14.845Z"
"SlawPro","Azucena","5","How many different ball types are selectable in the Original Tekken Ball mode?","3","3","Yes","2.86","2025-07-18T01:55:17.709Z"
"SlawPro","Azucena","6","Which item behaves similarly to the Tekken Ball mechanics in Smash Bros?","Soccer Ball","Soccer Ball","Yes","1.72","2025-07-18T01:55:19.429Z"
"SlawPro","Azucena","7","Which Tekken game first introduced the Tekken Ball mode?","Tekken 3","Tekken 3","Yes","2.38","2025-07-18T01:55:21.814Z"
"SlawPro","Azucena","8","What happens if a player tries to grab the ball mid-air?","The ball is momentarily suspended or stabilized","The ball is momentarily suspended or stabilized","Yes","6.42","2025-07-18T01:55:28.238Z"
"SlawPro","Azucena","9","What is the primary gameplay objective in the Tekken Ball mode?","Hit your opponent with a ball to reduce their health","Hit your opponent with a ball to reduce their health","Yes","4.23","2025-07-18T01:55:32.471Z"
"SlawPro","Azucena","10","Which of the following actions can stabilize or “stall” the ball mid-air?","Throw","Throw","Yes","5.58","2025-07-18T01:55:38.047Z"
"SlawPro","Azucena","11","What makes Tekken Ball different from standard fighting modes?","The use of a volleyball-like mechanic","The use of a volleyball-like mechanic","Yes","3.36","2025-07-18T01:55:41.408Z"
"SlawPro","Azucena","12","The Tekken Ball game mode is most similar to which sport?","Volleyball","Volleyball","Yes","4.99","2025-07-18T01:55:46.400Z"
"SlawPro","Azucena","13","Which character in Tekken 8 Ball is a popular pick for dominating Tekken Ball matches with one signature fast and powerful strike?","King","King","Yes","4.33","2025-07-18T01:55:50.729Z"
"SlawPro","Azucena","14","Can you win in Tekken Ball by health KO alone?","Yes","Yes","Yes","6.61","2025-07-18T01:55:57.337Z"
"SlawPro","Azucena","15","What determines ball power in Tekken Ball mode?","Attack strength","Attack strength","Yes","5.13","2025-07-18T01:56:02.466Z"
"SlawPro","Azucena","16","Which character has a special divekick that's effective in Tekken Ball?","Jin Kazama","Jin Kazama","Yes","2.71","2025-07-18T01:56:05.178Z"
"SlawPro","Azucena","17","Which move is famously used by King to dominate Tekken Ball with fast and precise hits?","b+3","b+3","Yes","2.24","2025-07-18T01:56:07.419Z"
"SlawPro","Azucena","18","Which move type is best for controlling the Tekken Ball?","Throws","Throws","Yes","10.15","2025-07-18T01:56:17.572Z"
"SlawPro","Azucena","19","Which of these is <b>not</b> a feature in Tekken Ball mode?","Combo breakers","Combo breakers","Yes","3.54","2025-07-18T01:56:21.116Z"
"SlawPro","Azucena","20","Which character is often banned in Tekken 3 Ball tournaments?","Ogre","Gon","No","2.58","2025-07-18T01:56:23.700Z"
